district_name,school_name,level,street_address,city,state,zip,latitude,longitude,charter
BROWARD     ,IMAGINE CHARTER SCHOOL AT NORTH LAUDERDALE ELEMENTARY                                               ,elementary,1395 S STATE ROAD 7                                                             ,NORTH LAUDERDALE    ,FL,33068-4023,26.21015,-80.20553,True
BROWARD     ,INNOVATION CHARTER SCHOOL                                                                           ,elementary,600 SW 3RD ST                                                                   ,POMPANO BEACH       ,FL,33060-6932,26.22515,-80.13514,True
BROWARD     ,THE BEN GAMLA PREPARATORY ACADEMY                                                                   ,high,2650 VAN BUREN ST                                                               ,HOLLYWOOD           ,FL,33020-4818,26.00944,-80.16134,True
BROWARD     ,ASCEND CAREER ACADEMY                                                                               ,high,5251 COCONUT CREEK PKWY                                                         ,MARGATE             ,FL,33063-3962,26.24457,-80.19691,True
BROWARD     ,SOMERSET ACADEMY DAVIE CHARTER SCHOOL                                                               ,elementary,3788 DAVIE RD                                                                   ,DAVIE               ,FL,33314-2417,26.07516,-80.23171,True
BROWARD     ,CHAMPIONSHIP ACADEMY OF DISTINCTION MIDDLE SCHOOL                                                   ,middle,1100 HILLCREST DR                                                               ,HOLLYWOOD           ,FL,33021-7811,26.00044,-80.18973,True
BROWARD     ,CHAMPIONSHIP ACADEMY OF DISTINCTION HIGH SCHOOL                                                     ,high,3020 NW 33RD AVE                                                                ,LAUDERDALE LAKES    ,FL,33311-1106,26.16386,-80.19056,True
BROWARD     ,SOMERSET ACADEMY CHARTER HIGH                                                                       ,high,20805 JOHNSON ST                                                                ,PEMBROKE PINES      ,FL,33029-1916,26.01818,-80.42597,True
BROWARD     ,SOMERSET ACADEMY KEY CHARTER HIGH SCHOOL                                                            ,high,959 SE 6TH AVE                                                                  ,DEERFIELD BEACH     ,FL,33441-5604,26.30594,-80.09714,True
BROWARD     ,ACADEMIC SOLUTIONS ACADEMY A                                                                        ,high,2000 W COMMERCIAL BLVD                                                          ,FT LAUDERDALE       ,FL,33309-3073,26.18749,-80.17016,True
BROWARD     ,CHAMPIONSHIP ACADEMY OF DISTINCTION OF WEST BROWARD                                                 ,"elementary, middle",7100 W OAKLAND PARK BLVD                                                        ,SUNRISE             ,FL,33313-1015,26.16415,-80.2422,True
BROWARD     ,BRIDGEPREP ACADEMY BROWARD COUNTY                                                                   ,"elementary, middle",7595 NW 61ST ST                                                                 ,TAMARAC             ,FL,33321-6043,26.19997,-80.2504,True
BROWARD     ,SOMERSET ACADEMY ELEMENTARY SOUTH CAMPUS                                                            ,elementary,19620 PINES BLVD                                                                ,PEMBROKE PINES      ,FL,33029-1301,26.0061,-80.41013,True
BROWARD     ,CHARTER SCHOOL OF EXCELLENCE AT DAVIE                                                               ,elementary,2801 N UNIVERSITY DR                                                            ,PEMBROKE PINES      ,FL,33024,26.03334,-80.25078,True
BROWARD     ,SUMMIT ACADEMY CHARTER SCHOOL                                                                       ,"elementary, middle",11421 NW 56TH DR                                                                ,CORAL SPRINGS       ,FL,33076-3122,26.30053,-80.28252,True
BROWARD     ,HOLLYWOOD ACADEMY OF ARTS & SCIENCE                                                                 ,elementary,1705 VAN BUREN ST                                                               ,HOLLYWOOD           ,FL,33020-5125,26.00997,-80.14145,True
BROWARD     ,EAGLES NEST CHARTER ACADEMY                                                                         ,"elementary, middle, high",3698 NW 15TH ST                                                                 ,LAUDERHILL          ,FL,33311-4133,26.14448,-80.19588,True
BROWARD     ,EAGLES NEST MIDDLE CHARTER SCHOOL                                                                   ,middle,201 N UNIVERSITY DR                                                             ,CORAL SPRINGS       ,FL,33071-7323,26.23357,-80.25268,True
BROWARD     ,CHAMPIONSHIP ACADEMY OF DISTINCTION AT HOLLYWOOD                                                    ,elementary,1100 HILLCREST DR                                                               ,HOLLYWOOD           ,FL,33021-7811,26.00037,-80.18962,True
BROWARD     ,HOLLYWOOD ACADEMY OF ARTS AND SCIENCE MIDDLE SCHOOL                                                 ,middle,1705 VAN BUREN ST                                                               ,HOLLYWOOD           ,FL,33020-5125,26.00997,-80.14145,True
BROWARD     ,NORTH BROWARD ACADEMY OF EXCELLENCE MIDDLE                                                          ,middle,8200 SW 17TH ST                                                                 ,NORTH LAUDERDALE    ,FL,33068-4101,26.20523,-80.23925,True
BROWARD     ,PARAGON ACADEMY OF TECHNOLOGY                                                                       ,high,502 N 28TH AVE                                                                  ,HOLLYWOOD           ,FL,33020-3811,26.01529,-80.16461,True
BROWARD     ,SOMERSET ACADEMY RIVERSIDE                                                                          ,elementary,2251 RIVERSIDE DR                                                               ,CORAL SPRINGS       ,FL,33065-5618,26.25849,-80.23551,True
BROWARD     ,SOMERSET ACADEMY POMPANO (K-5)                                                                      ,elementary,1101 NW 33RD ST                                                                 ,POMPANO BEACH       ,FL,33064-2109,26.27123,-80.13597,True
BROWARD     ,SOMERSET ACADEMY EAST PREPARATORY                                                                   ,elementary,2000 S STATE ROAD 7                                                             ,MIRAMAR             ,FL,33023-6740,25.99257,-80.20802,True
BROWARD     ,BEN GAMLA CHARTER SCHOOL SOUTH BROWARD                                                              ,"elementary, middle",6511 W SUNRISE BLVD                                                             ,PLANTATION          ,FL,33313-6036,26.13606,-80.23598,True
BROWARD     ,EXCELSIOR CHARTER OF BROWARD                                                                        ,elementary,2099 W. PROSPECT RD                                                             ,TAMARAC             ,FL,33309-3624,26.18386,-80.1705,True
BROWARD     ,SOMERSET ARTS CONSERVATORY                                                                          ,high,20807 JOHNSON ST                                                                ,PEMBROKE PINES      ,FL,33029-1916,26.01506,-80.42647,True
BROWARD     ,SUNSHINE ELEMENTARY CHARTER SCHOOL                                                                  ,elementary,502 N 28TH AVE                                                                  ,HOLLYWOOD           ,FL,33020-3811,26.01529,-80.16461,True
BROWARD     ,SUNFIRE HIGH SCHOOL OF FT LAUDERDALE                                                                ,high,4520 STATE ROAD 7                                                               ,NORTH LAUDERDALE    ,FL,33319,26.19927,-80.20375,True
BROWARD     ,SOMERSET ACADEMY ELEMENTARY (MIRAMAR CAMPUS)                                                        ,elementary,12601 SOMERSET BLVD                                                             ,MIRAMAR             ,FL,33027-5898,25.96029,-80.31322,True
BROWARD     ,SOMERSET ACADEMY MIDDLE (MIRAMAR CAMPUS)                                                            ,middle,12601 SOMERSET BLVD                                                             ,MIRAMAR             ,FL,33027-5898,25.96058,-80.31312,True
BROWARD     ,EVEREST CHARTER SCHOOL                                                                              ,"elementary, middle",10038-10044 W. MCNAB RD                                                         ,TAMARAC             ,FL,33321-1815,26.20831,-80.29252,True
BROWARD     ,BEN GAMLA CHARTER SCHOOL                                                                            ,"elementary, middle",2620 HOLLYWOOD BLVD                                                             ,HOLLYWOOD           ,FL,33020-4807,26.01,-80.15991,True
BROWARD     ,SOMERSET ACADEMY KEY MIDDLE SCHOOL                                                                  ,middle,959 SE 6TH AVE                                                                  ,DEERFIELD BEACH     ,FL,33441-5604,26.30594,-80.09714,True
BROWARD     ,INTERNATIONAL SCHOOL OF BROWARD                                                                     ,high,3100 N 75TH AVE                                                                 ,HOLLYWOOD           ,FL,33024-2355,26.03613,-80.23904,True
BROWARD     ,SOMERSET ACADEMY RIVERSIDE CHARTER MIDDLE SCHOOL                                                    ,middle,2251 RIVERSIDE DRIVE                                                            ,CORAL SPRINGS       ,FL,33065-5618,26.25849,-80.23551,True
BROWARD     ,RISE ACADEMY SCHOOL OF SCIENCE AND TECHNOLOGY                                                       ,"elementary, middle",6101 NW 31ST ST                                                                 ,MARGATE             ,FL,33063-7015,26.26922,-80.2053,True
BROWARD     ,ALPHA INTERNATIONAL ACADEMY                                                                         ,elementary,121 S 24TH AVE                                                                  ,HOLLYWOOD           ,FL,33020-4901,26.0103,-80.15405,True
BROWARD     ,CHAMPIONSHIP ACADEMY OF DISTINCTION AT DAVIE                                                        ,"elementary, middle",3367 N UNIVERSITY DR                                                            ,DAVIE               ,FL,33024-9004,26.04073,-80.24821,True
BROWARD     ,SOMERSET PREPARATORY CHARTER MIDDLE SCHOOL                                                          ,middle,9300 PEMBROKE RD                                                                ,MIRAMAR             ,FL,33025-1640,25.99269,-80.26798,True
