,origin_school,destination_school,comparison_level,Origin_School_Name,Origin_District,Destination_School_Name,Destination_District,distance_between
427,93,2154,middle,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL                                                       ,BAY         ,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,48.718625369499996
428,63,2389,elementary,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,BLUEWATER ELEMENTARY SCHOOL                                                                         ,OKALOOSA    ,40.186352421399995
429,63,2364,elementary,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,DESTIN ELEMENTARY SCHOOL                                                                            ,OKALOOSA    ,41.638333427199996
430,63,2377,elementary,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,JAMES E PLEW ELEMENTARY SCHOOL                                                                      ,OKALOOSA    ,43.2545648584
431,76,2389,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,BLUEWATER ELEMENTARY SCHOOL                                                                         ,OKALOOSA    ,36.065164005
432,76,2364,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,DESTIN ELEMENTARY SCHOOL                                                                            ,OKALOOSA    ,38.5093854385
433,76,2377,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,JAMES E PLEW ELEMENTARY SCHOOL                                                                      ,OKALOOSA    ,39.1068026971
434,89,2389,elementary,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,BLUEWATER ELEMENTARY SCHOOL                                                                         ,OKALOOSA    ,41.315224554299995
435,89,2364,elementary,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,DESTIN ELEMENTARY SCHOOL                                                                            ,OKALOOSA    ,42.7113340273
436,89,2377,elementary,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,JAMES E PLEW ELEMENTARY SCHOOL                                                                      ,OKALOOSA    ,44.3835172974
437,87,2398,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,COLLEGIATE HIGH SCHOOL AT NORTHWEST FLORIDA STATE COLLEGE                                           ,OKALOOSA    ,47.9851589055
438,87,2368,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,NICEVILLE SENIOR HIGH SCHOOL                                                                        ,OKALOOSA    ,48.0225242082
439,88,2368,high,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,NICEVILLE SENIOR HIGH SCHOOL                                                                        ,OKALOOSA    ,45.1963407352
440,88,2398,high,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,COLLEGIATE HIGH SCHOOL AT NORTHWEST FLORIDA STATE COLLEGE                                           ,OKALOOSA    ,45.4884481504
441,71,2392,middle,SURFSIDE MIDDLE SCHOOL                                                                              ,BAY         ,DESTIN MIDDLE SCHOOL                                                                                ,OKALOOSA    ,36.652114522
442,71,2384,middle,SURFSIDE MIDDLE SCHOOL                                                                              ,BAY         ,ADDIE R. LEWIS SCHOOL                                                                               ,OKALOOSA    ,42.9815788557
443,89,2392,middle,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,DESTIN MIDDLE SCHOOL                                                                                ,OKALOOSA    ,38.8889347085
444,89,2384,middle,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,ADDIE R. LEWIS SCHOOL                                                                               ,OKALOOSA    ,45.272473701
445,63,3760,elementary,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,DUNE LAKES ELEMENTARY SCHOOL                                                                        ,WALTON      ,17.596847034
446,63,3767,elementary,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,BAY SCHOOL                                                                                          ,WALTON      ,20.4835819606
447,63,3766,elementary,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,FREEPORT ELEMENTARY SCHOOL                                                                          ,WALTON      ,26.3704017046
448,76,3760,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,DUNE LAKES ELEMENTARY SCHOOL                                                                        ,WALTON      ,13.420762995599999
449,76,3767,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,BAY SCHOOL                                                                                          ,WALTON      ,16.3032171502
450,76,3766,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,FREEPORT ELEMENTARY SCHOOL                                                                          ,WALTON      ,20.8438895324
451,89,3760,elementary,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,DUNE LAKES ELEMENTARY SCHOOL                                                                        ,WALTON      ,18.7407825073
452,89,3767,elementary,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,BAY SCHOOL                                                                                          ,WALTON      ,21.6251184119
453,89,3766,elementary,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,FREEPORT ELEMENTARY SCHOOL                                                                          ,WALTON      ,27.505373836700002
454,87,3768,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,SEASIDE NEIGHBORHOOD SCHOOL                                                                         ,WALTON      ,27.5416473655
455,87,3755,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,FREEPORT SENIOR HIGH SCHOOL                                                                         ,WALTON      ,27.804210868600002
456,88,3768,high,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,SEASIDE NEIGHBORHOOD SCHOOL                                                                         ,WALTON      ,21.020725709300002
457,88,3759,high,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,SOUTH WALTON HIGH SCHOOL                                                                            ,WALTON      ,24.9965797153
458,71,3758,middle,SURFSIDE MIDDLE SCHOOL                                                                              ,BAY         ,EMERALD COAST MIDDLE SCHOOL                                                                         ,WALTON      ,18.787967188099998
459,71,3756,middle,SURFSIDE MIDDLE SCHOOL                                                                              ,BAY         ,FREEPORT MIDDLE SCHOOL                                                                              ,WALTON      ,26.219616201199997
460,89,3758,middle,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,EMERALD COAST MIDDLE SCHOOL                                                                         ,WALTON      ,21.1126138728
461,89,3756,middle,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,FREEPORT MIDDLE SCHOOL                                                                              ,WALTON      ,28.503699806
462,73,3776,elementary,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,VERNON ELEMENTARY SCHOOL                                                                            ,WASHINGTON  ,23.687672209000002
463,73,3775,elementary,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,WASHINGTON ACADEMY OF VARYING EXCEPTIONALITIES (WAVE)                                               ,WASHINGTON  ,33.121018036399995
464,73,3771,elementary,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,KATE M. SMITH ELEMENTARY SCHOOL                                                                     ,WASHINGTON  ,33.7515295437
465,75,3776,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,VERNON ELEMENTARY SCHOOL                                                                            ,WASHINGTON  ,23.9377802638
466,75,3775,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,WASHINGTON ACADEMY OF VARYING EXCEPTIONALITIES (WAVE)                                               ,WASHINGTON  ,28.1518393654
467,75,3771,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,KATE M. SMITH ELEMENTARY SCHOOL                                                                     ,WASHINGTON  ,28.7124880883
